Overall Qual,Gr Liv Area,Total Bsmt SF,1st Flr SF,Garage Cars,Garage Area,Year Built,Full Bath,Bedroom AbvGr,SalePrice
6,1656,1080.0,1656,2.0,528.0,1960,1,3,215000
5,896,882.0,896,1.0,730.0,1961,1,2,105000
6,1329,1329.0,1329,1.0,312.0,1958,1,3,172000
7,2110,2110.0,2110,2.0,522.0,1968,2,3,244000
5,1629,928.0,928,2.0,482.0,1997,2,3,189900
6,1604,926.0,926,2.0,470.0,1998,2,3,195500
8,1338,1338.0,1338,2.0,582.0,2001,2,2,213500
8,1280,1280.0,1280,2.0,506.0,1992,2,2,191500
8,1616,1595.0,1616,2.0,608.0,1995,2,2,236500
7,1804,994.0,1028,2.0,442.0,1999,2,3,189000
6,1655,763.0,763,2.0,440.0,1993,2,3,175900
6,1187,1168.0,1187,2.0,420.0,1992,2,3,185000
6,1465,789.0,789,2.0,393.0,1998,2,3,180400
7,1341,1300.0,1341,2.0,506.0,1990,1,2,171500
8,1502,1488.0,1502,2.0,528.0,1985,1,1,212000
8,3279,1650.0,1690,3.0,841.0,2003,3,4,538000
8,1752,559.0,1080,2.0,492.0,1988,2,4,164000
9,1856,1856.0,1856,3.0,834.0,2010,1,1,394432
4,864,864.0,864,2.0,400.0,1951,1,2,141000
6,2073,1542.0,2073,2.0,500.0,1978,2,3,210000
6,1844,1844.0,1844,2.0,546.0,1977,2,3,190000
7,1173,1053.0,1173,2.0,528.0,1974,2,3,170000
7,1674,814.0,814,2.0,663.0,2000,2,3,216000
6,1004,1004.0,1004,2.0,480.0,1970,1,2,149000
5,1078,1078.0,1078,2.0,500.0,1971,1,3,149900
5,1056,1056.0,1056,1.0,304.0,1968,1,3,142000
4,882,882.0,882,2.0,525.0,1970,1,2,126000
4,864,864.0,864,0.0,0.0,1971,1,3,115000
7,1337,1405.0,1337,2.0,511.0,1999,2,2,184000
6,987,483.0,483,1.0,264.0,1971,1,2,96000
5,1092,525.0,525,1.0,320.0,1971,1,3,105500
6,1092,525.0,525,1.0,264.0,1971,1,3,88000
6,1069,1069.0,1069,2.0,440.0,1977,2,2,127500
6,1456,855.0,855,2.0,440.0,1975,2,3,149900
7,836,836.0,836,1.0,308.0,1975,1,2,120000
6,1456,855.0,855,2.0,440.0,1978,2,3,146000
9,2334,1590.0,1627,3.0,751.0,2009,2,3,376162
8,1704,1704.0,1704,3.0,772.0,2007,2,3,306000
9,1940,1930.0,1940,3.0,606.0,2009,2,3,395192
8,1544,1544.0,1544,3.0,868.0,2009,2,3,290941
7,1541,1541.0,1541,2.0,532.0,2005,2,3,220000
9,1698,1698.0,1698,3.0,730.0,2005,2,3,275000
8,1822,1822.0,1822,3.0,678.0,2005,2,3,259000
7,1535,1517.0,1535,2.0,532.0,2004,2,3,214000
9,2364,2330.0,2364,3.0,820.0,2009,2,2,611657
7,1358,1358.0,1358,2.0,484.0,2009,2,2,224000
9,2696,2846.0,2696,3.0,958.0,2003,2,3,500000
8,2250,1671.0,1687,3.0,756.0,2002,2,3,320000
9,1752,1752.0,1752,2.0,576.0,2005,2,2,319900
8,1370,1370.0,1370,2.0,484.0,2006,2,2,205000
7,1626,764.0,764,2.0,474.0,2003,2,2,175500
6,1324,1324.0,1324,2.0,430.0,2005,2,3,199500
7,1145,1145.0,1145,2.0,437.0,2006,2,2,160000
8,1269,1256.0,1269,2.0,430.0,2004,2,2,192000
7,1374,384.0,744,2.0,400.0,2004,2,3,184500
6,1960,860.0,860,2.0,440.0,2002,2,4,216500
7,1733,847.0,847,2.0,433.0,2004,2,3,185088
7,1430,384.0,774,2.0,400.0,2000,2,3,180000
7,2035,884.0,884,2.0,434.0,2001,2,3,222500
9,2599,1393.0,1422,3.0,779.0,1999,2,4,333168
8,2475,1629.0,1645,3.0,962.0,1998,2,4,355000
7,1720,1720.0,1720,2.0,527.0,1996,2,3,260400
8,2622,1463.0,1500,2.0,712.0,1994,2,3,325000
8,2270,1152.0,1164,3.0,671.0,1999,2,4,290000
7,1839,1195.0,1195,2.0,486.0,1998,2,4,221000
8,3238,2033.0,2053,3.0,666.0,1995,2,4,410000
8,1595,1595.0,1595,3.0,880.0,2005,2,2,221500
7,1218,1218.0,1218,2.0,676.0,2009,2,2,204500
7,1547,756.0,764,2.0,614.0,2009,2,3,215200
8,1566,1566.0,1566,2.0,750.0,2008,2,3,262500
7,1947,991.0,991,2.0,678.0,2004,2,3,254900
6,1468,1468.0,1468,2.0,528.0,2005,2,2,271500
7,2084,956.0,956,2.0,618.0,2004,2,4,233000
7,1659,831.0,831,2.0,484.0,2004,2,3,181000
7,2110,948.0,1222,2.0,463.0,1994,2,3,205000
6,923,923.0,923,1.0,264.0,1980,2,2,143000
6,1845,1055.0,1055,2.0,462.0,1992,2,3,189000
6,918,918.0,918,1.0,264.0,1979,2,2,99500
6,752,744.0,752,1.0,264.0,1984,1,2,125000
7,1744,996.0,1014,2.0,457.0,1993,2,3,194500
6,1097,1040.0,1097,2.0,480.0,1984,2,3,152000
6,1564,650.0,888,2.0,476.0,1980,2,3,171000
5,1012,816.0,1012,1.0,429.0,1920,1,2,67500
6,1902,0.0,1318,2.0,539.0,1978,2,4,112000
5,1155,1109.0,1155,2.0,576.0,1961,1,3,148000
5,894,894.0,894,1.0,336.0,1965,1,3,138500
5,900,882.0,900,1.0,280.0,1967,1,3,122000
5,1040,1040.0,1040,1.0,308.0,1963,1,3,133000
5,1040,1040.0,1040,1.0,260.0,1962,1,3,127000
6,1494,1208.0,1494,2.0,461.0,1974,2,3,169000
7,1923,750.0,1061,2.0,564.0,1992,2,3,190000
8,2349,1231.0,1251,3.0,762.0,1993,2,4,362500
8,2225,1390.0,1402,3.0,713.0,1992,2,4,285000
7,1488,1488.0,1488,2.0,506.0,2004,2,2,260000
7,1680,840.0,840,2.0,588.0,2004,2,2,190000
7,1200,600.0,600,2.0,480.0,2004,2,2,155000
7,1200,600.0,600,2.0,480.0,2004,2,2,151000
7,1200,600.0,600,2.0,480.0,2004,2,2,149500
6,1236,600.0,600,2.0,480.0,2005,2,2,152000
7,1478,1470.0,1478,2.0,484.0,2009,2,2,222000
6,1573,756.0,769,2.0,440.0,2000,2,3,177500
6,1512,756.0,756,2.0,440.0,2000,2,2,177000
7,1416,696.0,696,2.0,484.0,1999,2,3,155000
7,1080,530.0,530,2.0,496.0,2003,2,2,147110
8,1418,1642.0,1418,3.0,852.0,2010,1,1,267916
8,1848,975.0,975,2.0,592.0,2000,2,3,254000
8,788,728.0,788,2.0,484.0,1980,1,1,155000
8,1226,1226.0,1226,2.0,484.0,1978,1,1,206000
6,1479,725.0,725,2.0,475.0,1976,2,3,130500
7,1492,1492.0,1492,2.0,596.0,2002,2,3,230000
6,1829,1829.0,1829,2.0,535.0,1967,2,4,218500
6,2495,1280.0,1280,2.0,660.0,1993,2,4,243500
6,1610,1610.0,1610,2.0,480.0,1977,2,3,205000
6,1891,1224.0,1287,2.0,678.0,1978,3,3,212500
7,1714,980.0,980,2.0,496.0,1988,2,3,196500
6,1381,1161.0,1381,2.0,676.0,1972,1,3,197500
6,1645,715.0,930,2.0,441.0,1971,1,4,171000
5,1232,1232.0,1232,2.0,490.0,1966,1,3,142250
6,1328,1328.0,1328,2.0,528.0,1963,1,3,143000
4,1225,950.0,1225,0.0,0.0,1959,1,3,128950
5,1209,1209.0,1209,2.0,504.0,1966,1,3,159000
5,1510,1510.0,1510,2.0,517.0,1967,2,3,178900
6,1775,533.0,1131,2.0,480.0,1964,2,3,136300
5,1152,1152.0,1152,2.0,484.0,1964,1,3,180500
6,1054,936.0,1054,2.0,480.0,1963,1,3,137500
5,1728,1728.0,1728,0.0,0.0,1962,2,6,84900
5,1078,1078.0,1078,1.0,240.0,1950,1,2,142125
5,2461,1140.0,1929,2.0,400.0,1952,2,3,197600
6,1556,782.0,1019,2.0,470.0,1949,2,3,172500
5,858,858.0,858,0.0,0.0,1958,1,2,116500
3,1306,728.0,1306,0.0,0.0,1940,1,3,76500
5,1063,1056.0,1063,1.0,280.0,1954,1,3,128000
6,1520,1156.0,1520,1.0,364.0,1955,1,3,153000
5,1268,1268.0,1268,1.0,244.0,1954,1,2,132000
6,1128,1080.0,1128,1.0,315.0,1966,1,2,178000
5,2274,1105.0,1105,2.0,480.0,1960,2,5,154300
7,2207,1947.0,2207,2.0,576.0,1970,2,3,180000
6,1888,1517.0,1888,2.0,578.0,1966,2,2,190000
5,1604,1604.0,1604,2.0,576.0,1958,2,4,135000
7,1480,1480.0,1480,2.0,620.0,2003,2,3,214000
5,1143,1143.0,1143,1.0,308.0,1959,1,3,136000
5,1700,1398.0,1700,2.0,447.0,1959,1,4,165500
5,1314,1314.0,1314,1.0,294.0,1957,1,3,145000
6,1194,1194.0,1194,1.0,312.0,1959,1,3,148000
5,1188,1188.0,1188,2.0,531.0,1959,1,3,142000
5,1264,1268.0,1264,2.0,461.0,1960,1,3,167500
5,1206,1206.0,1206,1.0,312.0,1959,1,3,108538
6,1580,1244.0,1580,2.0,440.0,1959,1,3,159500
4,1337,832.0,832,1.0,263.0,1956,1,3,108000
5,1064,864.0,1064,1.0,318.0,1952,1,2,135000
5,972,972.0,972,1.0,305.0,1955,1,3,122500
5,988,988.0,988,1.0,264.0,1958,1,2,119000
5,1057,1057.0,1057,1.0,246.0,1953,1,3,109000
4,985,576.0,985,2.0,676.0,1920,1,2,105000
5,827,0.0,827,1.0,392.0,1955,1,2,107500
5,1086,1086.0,1086,2.0,490.0,1954,1,3,144900
5,936,936.0,936,1.0,308.0,1956,1,2,129000
6,1458,912.0,912,1.0,330.0,1948,1,3,97500
6,1056,1056.0,1056,2.0,576.0,1980,0,0,144000
5,1287,1063.0,1287,2.0,576.0,1959,1,3,162000
7,2978,710.0,1898,2.0,564.0,1967,2,5,242000
